ID,a_games,a_goals,a_mins,a_tir,b_games,b_goals,b_mins,b_tir,c_goals,last_season,player,position,team
tSj39mauNjCq42LXg,27.399999999999995,18.1,2080.5,0.2244241386090566,9.599999999999998,6.299999999999999,27.399999999999995,24.400000000000002,22.965789473684207,4,Pierre-Emerick Aubameyang,FWD,Arsenal
oQhmjoLisSM36MKfX,23.2,6.8999999999999995,1461.3000000000004,0.5464601286738885,13.799999999999999,3.4,23.2,21.099999999999998,27.468421052631584,4,Lucas Rodrigues Moura da Silva,MID,Tottenham
ey3RuSXQWePXZ2NfY,28.599999999999998,0.9,2506.5,0.023333333333333338,8.399999999999999,0.9,28.599999999999998,32.8,74.20263157894738,4,Martin Dubravka,GKP,Newcastle
BK6AFuzvB8NqLhB8m,21.099999999999998,0.9,1831.5,0.03666666666666667,4.5,0.9,21.099999999999998,29.199999999999996,82.0,4,Bernd Leno,GKP,Arsenal
H5TLPb62FKN8knk4X,16.9,1.4999999999999998,1449.2999999999997,0.48157894736842094,8.700000000000001,2.0999999999999996,16.9,16.9,30.7,4,Sokratis Papastathopoulos,DEF,Arsenal
jEx8fhgARoBN5fFjd,21.299999999999997,2.0999999999999996,1466.6999999999998,1.0150704814389953,4.300000000000001,3.3,21.299999999999997,21.299999999999997,31.5,4,Lucas Torreira,MID,Arsenal
he5YubwkRrH8MEw5p,21.7,0.9,1414.5,0.7388479390494596,3.899999999999999,0.9,21.7,21.7,33.1,4,Matteo Guendouzi,MID,Arsenal
97HPNsMJfxtpLi5xK,5.699999999999999,1.4999999999999998,395.1,0.3606779661016949,19.900000000000002,0.9,5.699999999999999,5.699999999999999,8.7,4,Leon Balogun,DEF,Brighton
wNpWv7niyvugTvXBk,18.900000000000002,5.1,1398.3,0.48453828984281183,6.699999999999999,4.5,18.900000000000002,18.900000000000002,21.900000000000002,4,David Brooks,MID,Bournemouth
atKBNXYLAnCmSAFmm,15.7,3.7,586.0999999999999,0.34517687803222086,9.9,0.9,15.7,16.6,9.299999999999999,4,Florin Andone,FWD,Brighton
AtkBGWnad6KyNfKRw,15.099999999999998,0.9,1090.9,0.8006060606060605,10.499999999999998,1.4999999999999998,15.099999999999998,15.099999999999998,15.700000000000003,4,Bernardo Fernandes da Silva Junior,DEF,Brighton
vBCJEZXvWuTEXQqwX,1.2,0.9,43.50000000000001,0.010000000000000002,35.79999999999999,0.9,1.2,0.9,1.4052631578947368,4,Ethan Ampadu,MID,Chelsea
v6F3NhjgmiMBHKXLb,7.499999999999999,0.9,281.4,0.11984549932825796,29.5,1.4999999999999998,7.499999999999999,6.8999999999999995,7.310526315789476,4,Callum Hudson-Odoi,MID,Chelsea
YMY6X6kHhveo6TffJ,24.099999999999998,2.0999999999999996,2006.1000000000001,1.0581526052122479,1.5000000000000013,0.9,24.099999999999998,24.099999999999998,36.3,4,Jorge Luiz Frello Filho,MID,Chelsea
hRNPDnoqix67QYQyR,13.899999999999999,0.9,1182.8999999999999,0.010000000000000002,11.700000000000001,0.9,13.899999999999999,21.999999999999996,64.2,4,Vicente Guaita,GKP,Crystal Palace
hfwBKLWRCpJ7ueuK2,3.3,0.9,256.5,0.010000000000000002,22.299999999999997,0.9,3.3,11.399999999999999,47.39999999999999,4,David Button,GKP,Brighton
Fwz2WAQnp76HqBjhi,22.899999999999995,2.0999999999999996,2004.3,1.2602614379084969,2.7,5.699999999999999,22.899999999999995,22.899999999999995,26.1,4,Ricardo Domingos Barbosa Pereira,DEF,Leicester
hEqZ3fcBiXzM5gDmD,23.5,5.1,1829.0999999999997,0.49504537266506704,2.099999999999999,5.1,23.5,23.5,21.300000000000004,4,James Maddison,MID,Leicester
CuCpnDJbiAW2M8krc,18.7,1.4999999999999998,1337.1,1.0495658952888478,6.900000000000001,2.0999999999999996,18.7,18.7,39.1,4,Fabio Henrique Tavares,MID,Liverpool
QyKqmuvuYcaidNhC6,15.899999999999999,2.0999999999999996,871.5,1.100196357862133,9.700000000000001,1.4999999999999998,15.899999999999999,15.899999999999999,28.5,4,Naby Keita,MID,Liverpool
QgyGrSb5xfZ5kMchC,10.499999999999998,0.9,645.8999999999999,0.365962557694909,15.099999999999998,2.0999999999999996,10.499999999999998,10.499999999999998,18.299999999999997,4,José Diogo Dalot Teixeira,DEF,Man United
vJiR4n7bjnQaRisLT,11.1,1.4999999999999998,663.8999999999999,0.456391410635726,14.5,2.0999999999999996,11.1,11.1,11.700000000000001,4,Frederico Rodrigues de Paula Santos,MID,Man United
XoB8svtysFMAxJ5Yv,18.299999999999997,2.7,893.0999999999999,0.5891044894241805,7.3,3.3,18.299999999999997,18.299999999999997,13.499999999999998,4,Stuart Armstrong,MID,Southampton
xmcv7JqucccQmnvda,10.499999999999998,0.9,511.49999999999994,0.2541158841158841,15.099999999999998,0.9,10.499999999999998,10.499999999999998,8.1,4,Mohamed Elyounoussi,MID,Southampton
6EAjy7FtKfQBRjCLN,9.1,0.9,778.5,0.010000000000000002,16.499999999999996,0.9,9.1,17.2,55.199999999999996,4,Angus Gunn,GKP,Southampton
gGhbT5gscey4Nr4sE,15.7,0.9,1346.6999999999998,0.6479297538692934,9.9,0.9,15.7,15.7,23.099999999999998,4,Jannik Vestergaard,DEF,Southampton
