Liverpool,Man United
Man City,Crystal Palace
Newcastle,Chelsea
Norwich,Bournemouth
Southampton,Wolves
Watford,Tottenham
West Ham,Everton
Bournemouth,Brighton
Aston Villa,Watford
Everton,Newcastle
Leicester,West Ham
Sheffield United,Man City
Wolves,Liverpool
Man United,Burnley
Chelsea,Arsenal
Tottenham,Norwich
Crystal Palace,Southampton
Bournemouth,Aston Villa
Burnley,Arsenal
Crystal Palace,Sheffield United
Leicester,Chelsea
Liverpool,Southampton
Man United,Wolves
Newcastle,Norwich
Tottenham,Man City
Watford,Everton
West Ham,Brighton
Arsenal,Newcastle
Aston Villa,Tottenham
Brighton,Watford
Chelsea,Man United
Everton,Crystal Palace
Man City,West Ham
Norwich,Liverpool
Sheffield United,Bournemouth
Southampton,Burnley
Wolves,Leicester
Arsenal,Everton
Burnley,Bournemouth
Chelsea,Tottenham
Crystal Palace,Newcastle
Leicester,Man City
Liverpool,West Ham
Man United,Watford
Sheffield United,Brighton
Southampton,Aston Villa
Wolves,Norwich
Bournemouth,Chelsea
Aston Villa,Sheffield United
Brighton,Crystal Palace
Everton,Man United
Man City,Arsenal
Newcastle,Burnley
Norwich,Leicester
Tottenham,Wolves
Watford,Liverpool
West Ham,Southampton
Arsenal,West Ham
Burnley,Tottenham
Chelsea,Everton
Crystal Palace,Watford
Leicester,Aston Villa
Liverpool,Bournemouth
Man United,Man City
Sheffield United,Norwich
Southampton,Newcastle
Wolves,Brighton
Bournemouth,Crystal Palace
Aston Villa,Chelsea
Brighton,Arsenal
Everton,Liverpool
Man City,Burnley
Newcastle,Sheffield United
Norwich,Southampton
Tottenham,Man United
Watford,Leicester
West Ham,Wolves
Burnley,Watford
Chelsea,Man City
Leicester,Brighton
Liverpool,Crystal Palace
Man United,Sheffield United
Newcastle,Aston Villa
Norwich,Everton
Southampton,Arsenal
Tottenham,West Ham
Wolves,Bournemouth
Bournemouth,Newcastle
Arsenal,Norwich
Aston Villa,Wolves
Brighton,Man United
Crystal Palace,Burnley
Everton,Leicester
Man City,Liverpool
Sheffield United,Tottenham
Watford,Southampton
West Ham,Chelsea
Burnley,Sheffield United
Chelsea,Watford
Leicester,Crystal Palace
Liverpool,Aston Villa
Man United,Bournemouth
Newcastle,West Ham
Norwich,Brighton
Southampton,Man City
Tottenham,Everton
Wolves,Arsenal
Bournemouth,Tottenham
Arsenal,Leicester
Aston Villa,Man United
Brighton,Liverpool
Crystal Palace,Chelsea
Everton,Southampton
Man City,Newcastle
Sheffield United,Wolves
Watford,Norwich
West Ham,Burnley
Bournemouth,Leicester
Aston Villa,Crystal Palace
Brighton,Man City
Liverpool,Burnley
Man United,Southampton
Norwich,West Ham
Sheffield United,Chelsea
Tottenham,Arsenal
Watford,Newcastle
Wolves,Everton
Arsenal,Liverpool
Burnley,Wolves
Chelsea,Norwich
Crystal Palace,Man United
Everton,Aston Villa
Leicester,Sheffield United
Man City,Bournemouth
Newcastle,Tottenham
Southampton,Brighton
West Ham,Watford
Bournemouth,Southampton
Aston Villa,Arsenal
Brighton,Newcastle
Liverpool,Chelsea
Man United,West Ham
Norwich,Burnley
Sheffield United,Everton
Tottenham,Leicester
Watford,Man City
Wolves,Crystal Palace
Arsenal,Watford
Burnley,Brighton
Chelsea,Wolves
Crystal Palace,Tottenham
Everton,Bournemouth
Leicester,Man United
Man City,Norwich
Newcastle,Liverpool
Southampton,Sheffield United
West Ham,Aston Villa
