,player,position,team,Expected Points 2019/2020,Std Points 2019/2020,Lower 95% Confidence Points 2019/2020,Upper 95% Confidence Points 2019/2020,Expected Goals 2019/2020,Expected Clean Sheets 2019/2020,Expected Minutes Played 2019/2020
496,Tammy Abraham,FWD,Chelsea,32.751,11.772382893874957,9.206234212250084,56.295765787749914,2.8645,0.9115,658.246
505,Fernando Llorente,FWD,Tottenham,24.826,5.957325238729227,12.911349522541547,36.74065047745845,0.6075,0.0,535.0455
506,Hugo Lloris,GKP,Tottenham,120.6175,13.782677307040162,93.05214538591969,148.18285461408033,0.567,12.291,2834.116
507,Michel Vorm,GKP,Tottenham,8.6905,6.447224965052779,0.0,21.58494993010556,0.082,0.793,184.2145
508,Toby Alderweireld,DEF,Tottenham,100.7255,16.235521234318306,68.25445753136339,133.1965424686366,0.941,9.8165,2150.367
509,Danny Rose,DEF,Tottenham,73.6335,15.761065247945654,42.111369504108694,105.1556304958913,0.7315,6.0535,1382.2745
510,Jan Vertonghen,DEF,Tottenham,107.9085,16.495215298685846,74.9180694026283,140.8989305973717,1.424,10.1775,2258.5305
511,Ben Davies,DEF,Tottenham,102.7385,16.926196198496587,68.88610760300682,136.59089239699318,1.292,8.8585,1943.398
512,Kieran Trippier,DEF,Tottenham,112.241,19.049407313614793,74.14218537277041,150.3398146272296,1.3715,9.428,2040.7785
513,Eric Dier,MID,Tottenham,75.166,12.846184024837868,49.47363195032426,100.85836804967573,2.49,8.9715,1918.9965
514,Mousa Dembélé,MID,Tottenham,33.649,8.7496742225068,16.149651554986402,51.148348445013596,0.762,2.9245,1010.449
515,Erik Lamela,MID,Tottenham,37.8415,10.036402629926714,17.768694740146575,57.914305259853435,1.863,0.0355,910.8865
516,Christian Eriksen,MID,Tottenham,155.06,20.477021267752804,114.1059574644944,196.0140425355056,8.539,12.704,2779.551
517,Bamidele Alli,MID,Tottenham,115.5215,18.797966319525074,77.92556736094986,153.11743263905015,5.9335,10.202,2152.228
518,Victor Wanyama,MID,Tottenham,21.871,6.6533720022256375,8.564255995548724,35.17774400445127,0.914,0.018,646.2055
519,Heung-Min Son,MID,Tottenham,118.3465,19.241892779817686,79.86271444036464,156.83028555963537,8.514,6.664,2049.3085
520,Harry Winks,MID,Tottenham,37.483,8.376139385182137,20.730721229635723,54.235278770364275,1.0565,1.7705,1250.1385
521,Moussa Sissoko,MID,Tottenham,67.001,9.959166581597078,47.08266683680585,86.91933316319415,1.023,6.7715,1900.533
522,Harry Kane,FWD,Tottenham,150.6305,23.377745181047736,103.87500963790454,197.38599036209547,18.596,11.4515,2525.7655
523,Vincent Janssen,FWD,Tottenham,4.8295,3.5461852390984903,0.0,11.92187047819698,0.221,0.0,74.2395
524,Kyle Walker-Peters,DEF,Tottenham,17.163,9.165938631695072,0.0,35.494877263390144,0.4575,0.6225,339.9875
526,Davinson Sánchez,DEF,Tottenham,102.8285,17.726338814036033,67.37582237192794,138.28117762807207,1.417,9.4255,2068.2295
528,Serge Aurier,DEF,Tottenham,52.743,16.325591903511487,20.091816192977028,85.39418380702298,1.1885,4.1425,882.482
529,Juan Foyth,DEF,Tottenham,32.0145,13.257876517376385,5.4987469652472285,58.53025303475277,0.966,2.2755,581.887
530,Paulo Gazzaniga,GKP,Tottenham,10.2695,6.433185039309846,0.0,23.135870078619693,0.096,0.8155,242.1375
531,Alfie Whiteman,GKP,Tottenham,1.4745,1.7841944260645979,0.0,5.042888852129195,0.0145,0.027,52.307
532,Lucas Rodrigues Moura da Silva,MID,Tottenham,67.7,15.944967858230426,35.81006428353915,99.58993571646086,4.783,4.2525,1366.9485
533,Kazaiah Sterling,FWD,Tottenham,3.8805,4.7862532057967835,0.0,13.453006411593567,0.3765,0.0245,53.6295
534,Andre Gray,FWD,Watford,48.8625,9.31088576613419,30.240728467731618,67.48427153226838,3.438,0.1585,1366.5685
535,Nathaniel Chalobah,MID,Watford,12.616,5.369035667603629,1.8779286647927425,23.35407133520726,0.4335,0.0025,364.862
538,Heurelho Gomes,GKP,Watford,28.193,9.902663833534897,8.387672332930208,47.998327667069795,0.164,1.9095,782.254
539,Younes Kaboul,DEF,Watford,4.6305,4.992491336997991,0.0,14.615482673995981,0.1855,0.126,104.638
540,Craig Cathcart,DEF,Watford,84.731,16.03716430669708,52.65667138660584,116.80532861339415,2.1075,4.987,2019.342
541,Sebastian Prödl,DEF,Watford,27.1605,10.462826565990671,6.234846868018657,48.08615313198134,0.5915,1.4335,614.767
542,José Holebas,DEF,Watford,107.201,17.99257066124791,71.21585867750417,143.1861413224958,2.2875,5.595,2265.851
543,Miguel Britos,DEF,Watford,17.5545,8.282573860220017,0.9893522795599665,34.119647720440035,0.5655,0.6,440.5665
544,Christian Kabasele,DEF,Watford,75.8005,14.662595259707597,46.475309480584805,105.1256905194152,1.294,4.6,1801.3905
545,Daryl Janmaat,DEF,Watford,69.621,16.085035250194508,37.45092949961098,101.79107050038901,1.5575,3.94,1556.041
546,Adrian Mariappa,DEF,Watford,78.753,13.591394005031274,51.57021198993745,105.93578801006255,0.802,5.028,1961.9515
548,Francisco Femenía Far,DEF,Watford,80.338,14.324655528144497,51.688688943711,108.98731105628899,1.378,4.606,1855.0495
549,Tom Cleverley,MID,Watford,32.9185,9.198742183037771,14.52101563392446,51.31598436607554,1.213,0.987,995.166
550,Etienne Capoue,MID,Watford,79.4295,11.18937128483991,57.05075743032019,101.80824256967982,1.7145,5.7355,2295.876
555,Abdoulaye Doucouré,MID,Watford,124.2525,15.756609525846612,92.73928094830677,155.76571905169322,5.778,7.123,2946.4315
556,Roberto Pereyra,MID,Watford,100.52,15.088492303739299,70.3430153925214,130.69698460747858,4.7545,5.746,2270.869
557,Will Hughes,MID,Watford,73.631,12.512906896480958,48.60518620703809,98.65681379296191,2.1555,4.526,1821.605
558,Troy Deeney,FWD,Watford,92.84,14.165818013796446,64.50836397240711,121.1716360275929,6.012,5.512,2186.7195
559,Stefano Okaka,FWD,Watford,10.1215,4.746128711908274,0.6292425761834508,19.613757423816548,0.403,0.0,223.9555
562,Jerome Sinclair,FWD,Watford,3.9335,3.216687387670745,0.0,10.36687477534149,0.1815,0.0,63.8265
563,Richarlison de Andrade,MID,Everton,136.0195,18.29325339435278,99.43299321129443,172.60600678870554,8.7545,9.195,2597.903
566,Marvin Zeegelaar,DEF,Watford,20.0165,9.995810509908614,0.024878980182773347,40.008121019817224,0.517,1.0045,403.0805
569,Gerard Deulofeu,MID,Watford,72.4235,16.61406475700632,39.19537048598736,105.65162951401265,4.748,3.0685,1415.202
576,Daniel Sturridge,FWD,Liverpool,24.369,6.742910276727707,10.883179446544586,37.85482055345541,1.1595,0.0,532.856
578,Ben Foster,GKP,Watford,107.7325,11.525881473883045,84.68073705223391,130.78426294776608,0.4935,7.425,3124.112
580,Jonny Evans,DEF,Leicester,91.743,16.52978980507616,58.683420389847676,124.80257961015232,2.0175,6.076,2006.057
592,Salomón Rondón,FWD,Newcastle,116.61,16.518077975357777,83.57384404928445,149.64615595071555,8.568,9.002,2531.3075
606,Marko Arnautovic,FWD,West Ham,100.703,16.4423474905501,67.81830501889979,133.5876949811002,8.0075,5.1905,2032.346
607,Adrián San Miguel del Castillo,GKP,West Ham,23.247,9.372619217700041,4.501761564599917,41.99223843540008,0.156,1.5695,637.6175
611,Winston Reid,DEF,West Ham,24.9645,10.821101595955943,3.3222968080881152,46.60670319191189,0.5635,1.4245,556.1665
612,Aaron Cresswell,DEF,West Ham,87.7,15.619923175227262,56.460153649545475,118.93984635045453,1.0885,5.1805,2046.8075
613,Angelo Ogbonna,DEF,West Ham,88.1405,15.428180701236279,57.284138597527445,118.99686140247256,1.537,5.406,2142.3745
614,Sam Byram,DEF,West Ham,5.4245,4.7051354656375235,0.0,14.834770931275047,0.248,0.043,140.506
615,Arthur Masuaku,MID,West Ham,62.5095,10.514271717527667,41.48095656494467,83.53804343505533,0.86,4.3605,1745.4675
616,Pablo Zabaleta,DEF,West Ham,93.565,13.810024438790848,65.9449511224183,121.18504887758169,0.8815,6.013,2406.8475
617,Robert Snodgrass,MID,West Ham,53.712,11.62742688646118,30.457146227077644,76.96685377292236,1.475,3.0455,1343.752
618,Mark Noble,MID,West Ham,94.9875,15.107029613726231,64.77344077254753,125.20155922745246,4.2705,5.7815,2238.372
619,Cheikhou Kouyaté,MID,Crystal Palace,78.728,10.37954796703594,57.968904065928115,99.48709593407187,1.3515,6.1315,2141.035
620,Pedro Obiang,MID,West Ham,38.846,8.763348903244692,21.319302193510612,56.372697806489384,1.0565,1.214,1255.3475
621,Manuel Lanzini,MID,West Ham,56.336,14.11871467237723,28.09857065524554,84.57342934475446,2.425,2.923,1170.685
622,Michail Antonio,MID,West Ham,79.3255,14.763453178372615,49.798593643254776,108.85240635674523,3.653,3.4585,1754.4345
624,Edimilson Fernandes,MID,West Ham,14.701,7.6807290669571255,0.0,30.06245813391425,0.622,0.4155,350.7145
625,Andy Carroll,FWD,West Ham,19.3485,6.164580095188969,7.019339809622064,31.67766019037794,0.901,0.0115,578.7585
629,Joe Hart,GKP,Burnley,61.564,12.816860145917182,35.930279708165635,87.19772029183437,0.2925,4.786,1624.487
630,Javier Hernández Balcázar,FWD,West Ham,53.834,11.442702652782692,30.948594694434618,76.71940530556539,4.3475,0.6055,1372.141
631,Declan Rice,DEF,West Ham,96.4635,14.914579033616736,66.63434193276652,126.29265806723348,1.6515,5.9795,2303.516
634,Domingos Quina,MID,Watford,10.4795,5.650626491814871,0.0,21.780752983629743,0.576,0.0025,250.8985
635,Ben Johnson,DEF,West Ham,3.626,4.0365980726349,0.0,11.699196145269799,0.152,0.0555,90.4665
641,Reece Oxford,DEF,West Ham,2.3965,2.903323569635321,0.0,8.203147139270643,0.0935,0.0005,54.465
642,Jordan Hugill,FWD,West Ham,3.6785,3.484844006551788,0.0,10.648188013103576,0.218,0.0,59.5335
646,Grady Diangana,MID,West Ham,14.6685,5.560989817469553,3.5465203650608945,25.790479634939103,0.3585,0.0005,403.8115
647,Bernd Leno,GKP,Arsenal,102.951,13.378549958795974,76.19390008240805,129.70809991759194,0.63,8.513,2600.1315
648,Stephan Lichtsteiner,DEF,Arsenal,42.6695,12.754931193463973,17.159637613072054,68.17936238692795,0.9325,2.5785,926.7725
649,Sokratis Papastathopoulos,DEF,Arsenal,95.546,17.88731069781036,59.77137860437929,131.32062139562072,2.097,6.5255,2021.4505
650,Lucas Torreira,MID,Arsenal,92.089,13.069012166189218,65.95097566762156,118.22702433237843,2.652,7.277,2231.3675
651,Matteo Guendouzi,MID,Arsenal,65.524,9.11512062454467,47.29375875091066,83.75424124908935,1.2115,4.927,2018.8125
652,Emiliano Martínez,GKP,Arsenal,2.3945,2.287983773980928,0.0,6.970467547961856,0.03,0.0325,84.6705
653,Emile Smith-Rowe,MID,Arsenal,6.21,6.568325509595307,0.0,19.346651019190613,0.526,0.029,79.8735
654,Zech Medley,DEF,Arsenal,4.2155,4.7464786684446585,0.0,13.708457336889317,0.2395,0.029,81.7165
655,Bukayo Saka,MID,Arsenal,6.2625,5.489953893249009,0.0,17.242407786498017,0.4415,0.0005,88.0225
656,Denis Suárez,MID,Arsenal,8.817,5.167737512683885,0.0,19.15247502536777,0.4135,0.0,141.7695
657,David Brooks,MID,Bournemouth,102.2375,16.858353826812404,68.52079234637519,135.9542076536248,5.3175,5.1605,2121.3005
658,Diego Rico,DEF,Bournemouth,28.1325,10.811935245366577,6.5086295092668465,49.756370490733154,0.66,1.412,624.208
659,Jefferson Lerma,MID,Bournemouth,84.5085,12.569881771520368,59.36873645695926,109.64826354304074,2.646,5.506,2331.727
660,Chris Mepham,DEF,Bournemouth,35.472,11.437010798281156,12.59797840343769,58.34602159656231,0.7365,1.5595,849.2185
661,Sam Surridge,FWD,Bournemouth,5.562,3.9068089280127545,0.0,13.37561785602551,0.2895,0.0,89.7805
662,Nnamdi Ofoborh,MID,Bournemouth,5.078,5.415987075316902,0.0,15.909974150633804,0.4055,0.022,80.544
663,Mark Travers,GKP,Bournemouth,8.961,5.666963825541863,0.0,20.294927651083725,0.071,0.509,243.339
664,Leon Balogun,DEF,Brighton,29.6095,12.212248349505499,5.185003300989003,54.033996699011,0.888,1.5675,616.4025
665,Florin Andone,FWD,Brighton,30.8205,7.177623544739592,16.465252910520817,45.17574708947918,1.603,0.0025,861.803
666,David Button,GKP,Brighton,15.559,7.473989496915274,0.6110210061694517,30.506978993830547,0.078,1.102,405.5395
667,Jason Steele,GKP,Brighton,2.2065,1.9796105046195542,0.0,6.165721009239109,0.017,0.0225,83.598
668,Bernardo Fernandes da Silva Junior,DEF,Brighton,71.209,14.582740448900541,42.04351910219892,100.37448089780108,0.9505,4.626,1659.677
669,Yves Bissouma,MID,Brighton,51.7375,8.618444972847467,34.500610054305064,68.97438994569492,1.0195,2.841,1674.2335
670,Alireza Jahanbakhsh,MID,Brighton,28.611,7.097864397126799,14.415271205746402,42.8067287942536,0.8125,0.3885,1001.0245
671,Martín Montoya,DEF,Brighton,80.9495,15.175373133798056,50.59875373240389,111.30024626759611,1.025,5.357,1992.9585
672,Viktor Gyokeres,FWD,Brighton,3.718,3.729406923359267,0.0,11.176813846718535,0.2715,0.0215,80.7385
673,Ben White,DEF,Brighton,3.032,3.2506885424475884,0.0,9.533377084895177,0.117,0.0225,83.5335
674,Max Sanders,MID,Brighton,4.2535,4.474733260206693,0.0,13.202966520413387,0.2825,0.0175,84.9445
675,Dan Burn,DEF,Brighton,3.0465,3.5023331866057505,0.0,10.051166373211501,0.127,0.0275,78.593
676,Ben Gibson,DEF,Burnley,5.992,5.448663689382932,0.0,16.889327378765863,0.324,0.094,137.072
677,Matej Vydra,FWD,Burnley,18.665,5.698752056371629,7.267495887256741,30.062504112743255,0.5925,0.0,361.7675
678,Abd-Al-Ali Morakinyo Olaposi Koiki,DEF,Burnley,3.2395,3.659937123776851,0.0,10.559374247553702,0.1465,0.021,80.407
679,Josh Benson,MID,Burnley,4.4925,4.848395997647077,0.0,14.189291995294154,0.328,0.017,82.224
680,Anthony Driscoll-Glennon,DEF,Burnley,3.281,3.7125515484636815,0.0,10.706103096927363,0.1445,0.0255,80.736
681,Neil Etheridge,GKP,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
682,Alex Smithies,GKP,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
683,Sean Morrison,DEF,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684,Sol Bamba,DEF,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
685,Bruno Ecuele Manga,DEF,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
686,Matthew Connolly,DEF,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
687,Joe Bennett,DEF,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
688,Lee Peltier,DEF,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
689,Ashley Darel Jazz Richards,DEF,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,Greg Halford,DEF,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
691,Joe Ralls,MID,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692,David Junior Hoilett,MID,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
693,Nathaniel Mendez-Laing,MID,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
694,Callum Paterson,MID,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,Aron Gunnarsson,MID,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
696,Anthony Pilkington,MID,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
697,Loïc Damour,MID,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
698,Josh Murphy,MID,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
699,Kenneth Zohore,FWD,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,Omar Bogle,FWD,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
701,Gary Madine,FWD,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702,Bobby Reid,FWD,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
703,Greg Cunninghamm,DEF,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
704,Víctor Camarasa,MID,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
705,Kadeem Harris,MID,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
